Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brunei Darussalam,BRN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22317.2366242463,23997.7941525242,26765.556194772,27351.8659900682,30958.9830238332,36320.2814407535,38829.297423161,41969.595471884,44451.1001576913
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6441421,6433302
Bulgaria,BGR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2,1.5,1.6,0.7,1.2,1.1,1,..,..
Bulgaria,BGR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,12,12.5,13.2,15.5,15.8,14.8,11.6,..,..
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2042.40295259917,2073.3235382155,2232.16282016585,2380.72282781802,2486.43093147762,2644.82146127902,2761.57633646549,2901.04214238045,3071.62546744866
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781,24074580
Burkina Faso,BFA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,47.7,..,..,42.1,..,..,..,..
Burkina Faso,BFA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,38.9,39.1,39.5,40.1,40.5,40.7,41.4,..,..
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,791.393494929898,823.013102241659,868.423731660834,946.413218223156,1032.38274081999,1101.23579609841,1147.42440486734,1193.03528498996,1248.05425025467
Burundi,BDI,"Population, total",SP.POP.TOTL,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786,14390003
Burundi,BDI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,74.2,..,..,..,..,..
Burundi,BDI,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,70.8,70.8,..,..
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7935.76176281072,7916.42115326174,8645.75646859343,6852.57669930355,7685.41921393669,9479.57079016694,10250.5950245626,11184.7207350908,12165.2989335356
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,512893,513415,514104,514679,516649,519741,522331,524877,527326
Cabo Verde,CPV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,37.7,36.4,35.1,35.4,34.8,34.3,32.1,..,..
Cambodia,KHM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5050.06356615113,5616.98087023303,6153.99439528427,5942.45380373929,6225.53265474741,6917.7197730003,7436.85544015287,7981.50816402382,8542.6965378612
Cambodia,KHM,"Population, total",SP.POP.TOTL,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801,17847982
Cambodia,KHM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,36.9,36.4,38.6,41.9,43.4,43.2,40,..,..
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3767.43072883824,4010.76360069526,4241.11174920592,4365.44704128392,4793.55628200196,5188.15515765322,5415.22890256369,5597.10321648993,5787.85440270861
Cameroon,CMR,"Population, total",SP.POP.TOTL,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744,29879337
Cameroon,CMR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,26.7,..,..,..,..
Cameroon,CMR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,58,57,56.4,56.5,59.2,60.3,61.2,..,..
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,48317.500303004,49982.6446255492,50499.0822425462,48590.748859725,56995.0952020711,64217.0443455227,64962.1919440095,65482.9454728344,66745.8248561648
Canada,CAN,"Population, total",SP.POP.TOTL,36545075,37072620,37618495,38028638,38239864,38950132,40049088,41262329,41651653
Canada,CAN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.4,0.4,0.4,0.1,0.2,0.3,..,..,..
Canada,CAN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,5,5.1,5.8,6.5,7.7,8.5,10.2,..,..
